Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527
IndiGo,27-05-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
IndiGo,03-05-2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
IndiGo,15-05-2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,16-05-2021 11:05,16h 5m,1 stop,No info,6117
IndiGo,27-06-2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,28-06-2021 19:00,19h 55m,2 stops,In-flight meal not included,11150
IndiGo,09-03-2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
IndiGo,01-05-2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,02-05-2021 10:55,25h 20m,1 stop,No info,12121
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,22:20,28-03-2021 01:10,2h 50m,non-stop,No info,4377
IndiGo,18-06-2019,Banglore,Delhi,BLR → DEL,21:15,19-06-2021 00:15,3h,non-stop,No info,3943
IndiGo,03-04-2019,Banglore,Delhi,BLR → DEL,23:55,04-04-2021 02:45,2h 50m,non-stop,No info,4483
IndiGo,24-03-2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,25-03-2021 12:00,16h 15m,1 stop,No info,14231
IndiGo,01-03-2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345
IndiGo,06-03-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414
IndiGo,06-05-2019,Delhi,Cochin,DEL → BOM → COK,19:00,07-05-2021 01:30,6h 30m,1 stop,No info,8073
IndiGo,06-03-2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,07-03-2021 16:45,25h 5m,1 stop,No info,12395
IndiGo,06-06-2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366
IndiGo,03-04-2019,Delhi,Cochin,DEL → MAA → COK,06:05,04-04-2021 09:25,27h 20m,1 stop,No info,5117
IndiGo,03-06-2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524
IndiGo,15-05-2019,Delhi,Cochin,DEL → BOM → COK,15:00,16-05-2021 01:30,10h 30m,1 stop,No info,7191
IndiGo,24-05-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
IndiGo,24-06-2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894
IndiGo,24-04-2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403
IndiGo,06-05-2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625
IndiGo,21-05-2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861
IndiGo,12-03-2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297
IndiGo,01-06-2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678
IndiGo,09-03-2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,13-03-2021 08:15,26h 30m,1 stop,In-flight meal not included,9134
IndiGo,24-06-2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791
IndiGo,24-06-2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,25-06-2021 12:35,13h 30m,2 stops,No info,12819
IndiGo,21-03-2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893
IndiGo,09-03-2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240
IndiGo,03-04-2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898
IndiGo,03-04-2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
IndiGo,15-06-2019,Delhi,Cochin,DEL → BOM → COK,17:30,16-06-2021 12:35,19h 5m,1 stop,In-flight meal not included,10262
IndiGo,21-03-2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332
IndiGo,09-06-2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10-06-2021 12:00,14h 50m,1 stop,In-flight meal not included,10844
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,07-05-2021 04:40,22h 10m,1 stop,No info,13941
IndiGo,27-06-2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894
IndiGo,18-05-2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197
IndiGo,06-03-2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,07-03-2021 11:25,21h 20m,1 stop,In-flight meal not included,13712
IndiGo,24-06-2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636
IndiGo,06-06-2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,07-06-2021 04:25,18h 45m,2 stops,No info,13014
IndiGo,01-04-2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064
IndiGo,24-05-2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,25-05-2021 14:25,18h,1 stop,In-flight meal not included,10703
IndiGo,27-05-2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646
IndiGo,06-03-2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057
IndiGo,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,13-03-2021 10:25,17h 30m,1 stop,No info,13817
IndiGo,06-03-2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748
IndiGo,21-04-2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880
IndiGo,21-06-2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
IndiGo,15-05-2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257
IndiGo,03-06-2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478
IndiGo,18-06-2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040
IndiGo,12-06-2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,13-06-2021 12:35,16h 35m,2 stops,No info,14300
IndiGo,15-05-2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781
IndiGo,09-06-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10-06-2021 08:15,12h 15m,1 stop,No info,14939
IndiGo,24-06-2019,Delhi,Cochin,DEL → BOM → COK,20:55,25-06-2021 04:25,7h 30m,1 stop,In-flight meal not included,10262
IndiGo,12-05-2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,13-05-2021 14:35,24h,1 stop,No info,6528
IndiGo,01-05-2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121
IndiGo,18-05-2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,19-05-2021 04:25,8h 55m,2 stops,In-flight meal not included,13029
IndiGo,27-03-2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421
IndiGo,27-03-2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574
IndiGo,09-05-2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,10-05-2021 19:15,30h 20m,2 stops,No info,11596
IndiGo,24-05-2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,25-05-2021 19:00,19h 55m,2 stops,No info,15129
IndiGo,18-03-2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,16-03-2021 05:05,15h,1 stop,No info,13555
IndiGo,12-04-2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,5780
IndiGo,12-05-2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,13-05-2021 09:05,12h 45m,1 stop,No info,9397
IndiGo,06-03-2019,Delhi,Cochin,DEL → BOM → COK,18:15,07-03-2021 04:25,10h 10m,1 stop,No info,17024
IndiGo,27-06-2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5281
IndiGo,18-05-2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348
IndiGo,06-03-2019,Delhi,Cochin,DEL → MAA → COK,17:20,07-03-2021 09:25,16h 5m,1 stop,No info,12677
IndiGo,03-03-2019,Delhi,Cochin,DEL → BOM → COK,15:25,04-03-2021 01:35,10h 10m,1 stop,No info,15147
IndiGo,12-06-2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
IndiGo,09-05-2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554
IndiGo,09-04-2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971
IndiGo,03-05-2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,07-05-2021 10:05,14h 5m,1 stop,In-flight meal not included,9663
IndiGo,01-03-2019,Delhi,Cochin,DEL → BOM → COK,23:00,02-03-2021 19:15,20h 15m,1 stop,No info,27430
IndiGo,12-05-2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
IndiGo,21-05-2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,22-05-2021 11:10,23h 10m,2 stops,No info,10676
IndiGo,12-06-2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,13-06-2021 08:15,18h 10m,1 stop,No info,13044
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,07-05-2021 12:00,16h,1 stop,No info,14388
IndiGo,24-06-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
IndiGo,03-06-2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
IndiGo,21-03-2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1 stop,No info,5932
IndiGo,15-06-2019,Delhi,Cochin,DEL → BOM → COK,11:30,16-06-2021 04:25,16h 55m,1 stop,In-flight meal not included,10262
IndiGo,12-05-2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
IndiGo,15-06-2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804
IndiGo,21-05-2019,Delhi,Cochin,DEL → BOM → COK,11:30,22-05-2021 01:30,14h,1 stop,No info,14067
IndiGo,18-05-2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19-05-2021 19:00,23h 50m,2 stops,No info,15129
IndiGo,06-06-2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,07-06-2021 04:25,21h 40m,2 stops,No info,13376
IndiGo,27-06-2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,28-06-2021 19:15,21h 15m,2 stops,No info,10441
IndiGo,24-05-2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030
IndiGo,03-03-2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024
IndiGo,09-04-2019,Delhi,Cochin,DEL → BOM → COK,17:30,10-04-2021 01:30,8h,1 stop,No info,13017
IndiGo,06-06-2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07-06-2021 07:45,8h 15m,1 stop,No info,6686
IndiGo,15-06-2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636
IndiGo,09-06-2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
IndiGo,21-05-2019,Delhi,Cochin,DEL → HYD → COK,13:05,22-05-2021 00:55,11h 50m,1 stop,No info,9486
IndiGo,21-05-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,22-05-2021 23:35,27h 35m,1 stop,In-flight meal not included,10844
IndiGo,03-06-2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04-06-2021 04:25,8h 25m,2 stops,In-flight meal not included,15318
IndiGo,03-04-2019,Delhi,Cochin,DEL → MAA → COK,12:30,04-04-2021 09:25,20h 55m,1 stop,No info,5117
IndiGo,24-06-2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147
IndiGo,09-06-2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005
IndiGo,03-04-2019,Kolkata,Banglore,CCU → BLR,22:20,04-04-2021 00:40,2h 20m,non-stop,No info,3873
IndiGo,21-03-2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,22-03-2021 18:50,24h 25m,2 stops,In-flight meal not included,9270
IndiGo,27-06-2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898
IndiGo,12-05-2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781
IndiGo,24-05-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,25-05-2021 08:15,12h 15m,1 stop,In-flight meal not included,8586
IndiGo,09-05-2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,10-05-2021 07:55,23h 35m,2 stops,No info,10697
IndiGo,27-06-2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,28-06-2021 12:35,16h 35m,2 stops,No info,14300
IndiGo,03-03-2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,8855
IndiGo,12-05-2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,13-05-2021 18:15,25h 45m,1 stop,In-flight meal not included,10844
IndiGo,06-03-2019,Delhi,Cochin,DEL → BOM → COK,02:15,07-03-2021 04:25,26h 10m,1 stop,No info,17024
IndiGo,01-05-2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,02-05-2021 14:25,28h 50m,1 stop,In-flight meal not included,9314
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,4777
IndiGo,09-06-2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,10-06-2021 13:15,25h 15m,1 stop,No info,7662
IndiGo,09-05-2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442
IndiGo,12-06-2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5264
IndiGo,27-05-2019,Delhi,Cochin,DEL → BOM → COK,13:00,28-05-2021 04:25,15h 25m,1 stop,In-flight meal not included,12898
IndiGo,03-03-2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,6092
IndiGo,21-05-2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3311
IndiGo,27-03-2019,Delhi,Cochin,DEL → BOM → COK,19:15,28-03-2021 04:25,9h 10m,1 stop,In-flight meal not included,6540
IndiGo,27-05-2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419
IndiGo,03-04-2019,Delhi,Cochin,DEL → BOM → COK,14:00,04-04-2021 12:35,22h 35m,1 stop,In-flight meal not included,5177
IndiGo,18-04-2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,8246
IndiGo,09-06-2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,No info,14676
IndiGo,27-06-2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,13587
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,07-05-2021 09:20,12h 10m,1 stop,In-flight meal not included,9663
IndiGo,12-06-2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,13-06-2021 10:05,17h 35m,1 stop,No info,13044
IndiGo,03-04-2019,Delhi,Cochin,DEL → BOM → COK,20:25,04-04-2021 01:30,5h 5m,1 stop,No info,5073
IndiGo,21-05-2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22-05-2021 18:50,25h 50m,1 stop,No info,9345
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,07-05-2021 10:05,20h,1 stop,In-flight meal not included,9663
IndiGo,21-05-2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,14277
IndiGo,01-06-2019,Delhi,Cochin,DEL → BOM → COK,10:00,02-06-2021 04:25,18h 25m,1 stop,In-flight meal not included,10262
IndiGo,27-03-2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
IndiGo,15-05-2019,Delhi,Cochin,DEL → BOM → COK,16:00,16-05-2021 01:30,9h 30m,1 stop,No info,13727
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,07-05-2021 12:00,16h,1 stop,In-flight meal not included,9663
IndiGo,12-05-2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3858
IndiGo,24-06-2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,4812
IndiGo,27-06-2019,Delhi,Cochin,DEL → LKO → COK,21:50,28-06-2021 03:35,5h 45m,1 stop,No info,5775
IndiGo,06-06-2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,07-06-2021 09:45,24h 10m,1 stop,In-flight meal not included,10539
IndiGo,03-06-2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804
IndiGo,12-06-2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383
IndiGo,03-03-2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1 stop,No info,8738
IndiGo,27-03-2019,Delhi,Cochin,DEL → TRV → COK,05:15,28-03-2021 06:50,25h 35m,1 stop,No info,7165
IndiGo,24-06-2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412
IndiGo,27-06-2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,8016
IndiGo,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,13-03-2021 15:15,18h 40m,1 stop,In-flight meal not included,11087
IndiGo,27-06-2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
IndiGo,12-06-2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,13-06-2021 04:40,12h 10m,1 stop,No info,12471
IndiGo,24-06-2019,Delhi,Cochin,DEL → BOM → COK,09:00,25-06-2021 04:25,19h 25m,1 stop,In-flight meal not included,10262
IndiGo,18-03-2019,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,4441
IndiGo,27-03-2019,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No info,12537
IndiGo,24-03-2019,Kolkata,Banglore,CCU → BOM → BLR,22:25,25-03-2021 07:40,9h 15m,1 stop,No info,10091
IndiGo,03-06-2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,6961
IndiGo,24-04-2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5013
IndiGo,18-05-2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6934
IndiGo,03-06-2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,10877
IndiGo,18-04-2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,27-03-2019,Delhi,Cochin,DEL → BOM → COK,16:00,28-03-2021 01:35,9h 35m,1 stop,No info,7048
IndiGo,27-06-2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
IndiGo,21-05-2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844
IndiGo,18-05-2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,20-05-2021 04:25,29h 20m,2 stops,No info,15129
IndiGo,12-05-2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,3943
IndiGo,06-06-2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583
IndiGo,06-06-2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
IndiGo,03-06-2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,7677
IndiGo,01-06-2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6842
IndiGo,24-06-2019,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,In-flight meal not included,4995
IndiGo,09-06-2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,9555
IndiGo,01-06-2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,4077
IndiGo,12-05-2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229
